GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hedwig::Assembly/hedwig-api,com.hs.mail.smtp.message,HostAddress,10,0,0,0,4,0,2,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.smtp.message,MailAddress,102,115,15,9,25,30,18,7,6,7
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.message,MessageMetaData,19,0,0,0,7,0,4,0,4,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.message,MessageHeader.new AbstractContentHandler() {...},24,0,0,0,6,0,3,0,3,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.message,FetchData,38,0,0,0,17,0,11,0,11,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.message,MailMessage,102,0,2,0,30,0,11,0,10,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.message,MessageHeader,586,0,86,0,148,0,59,0,16,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.message,FetchData.FetchProfileItem,35,0,0,0,8,0,2,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.message,PhysMessage,37,0,2,0,14,0,7,0,6,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.message,SequenceRange,54,44,8,4,8,10,10,4,4,4
Hedwig::Assembly/hedwig-api,com.hs.mail.security.login,PropertiesLoginModule,258,0,20,0,50,0,14,0,4,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security.login,CryptPasswordEncoder,5015,0,84,0,169,0,56,0,14,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security.login,MD5PasswordEncoder,711,0,32,0,83,0,26,0,10,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security.login,BasicLoginModule,225,0,16,0,58,0,18,0,10,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security.login,BasicCallbackHandler,46,0,6,0,12,0,5,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security.login,PlaintextPasswordEncoder,14,0,0,0,4,0,3,0,3,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security.login,JdbcLoginModule,227,0,26,0,50,0,16,0,3,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security.login,JndiLoginModule,334,0,28,0,80,0,21,0,7,0
Hedwig::Assembly/hedwig-api,com.hs.mail.container.config,HedwigVersion,35,0,4,0,15,0,4,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.container.config,Config,708,0,48,0,163,0,65,0,41,0
Hedwig::Assembly/hedwig-api,com.hs.mail.container.config,ComponentManager,14,0,0,0,5,0,4,0,4,0
Hedwig::Assembly/hedwig-api,com.hs.mail.container.server,SSLContextFactory,48,0,0,0,12,0,3,0,3,0
Hedwig::Assembly/hedwig-api,com.hs.mail.util,RollingPrintStream,162,0,16,0,52,0,17,0,9,0
Hedwig::Assembly/hedwig-api,com.hs.mail.util,MailUtils,31,0,4,0,8,0,6,0,4,0
Hedwig::Assembly/hedwig-api,com.hs.mail.util,BASE64,539,0,26,0,50,0,16,0,3,0
Hedwig::Assembly/hedwig-api,com.hs.mail.util,WildcardMatch,19,74,8,18,4,21,7,8,1,1
Hedwig::Assembly/hedwig-api,com.hs.mail.util,MessageIDGenerator,70,0,2,0,17,0,3,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.util,CaseInsensitiveMap.CaseInsensitiveString,16,27,4,2,3,9,3,4,0,4
Hedwig::Assembly/hedwig-api,com.hs.mail.util,Log4jUtils,27,22,1,1,8,8,2,1,1,1
Hedwig::Assembly/hedwig-api,com.hs.mail.util,EhCacheWrapper,59,3,9,1,19,2,11,1,6,1
Hedwig::Assembly/hedwig-api,com.hs.mail.util,CaseInsensitiveMap.HashIterator,4,36,0,2,2,9,1,4,1,3
Hedwig::Assembly/hedwig-api,com.hs.mail.util,CaseInsensitiveMap.KeyIterator,0,12,0,0,0,4,0,2,0,2
Hedwig::Assembly/hedwig-api,com.hs.mail.util,InetAddressMatcher,272,113,26,14,54,28,22,7,7,2
Hedwig::Assembly/hedwig-api,com.hs.mail.util,FileUtils,234,60,14,0,59,10,15,2,8,2
Hedwig::Assembly/hedwig-api,com.hs.mail.util,CaseInsensitiveMap.KeySet,0,15,0,0,0,3,0,3,0,3
Hedwig::Assembly/hedwig-api,com.hs.mail.util,CaseInsensitiveMap.EntryIterator,11,0,0,0,4,0,2,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.util,CaseInsensitiveMap,57,111,3,9,14,24,10,13,8,9
Hedwig::Assembly/hedwig-api,com.hs.mail.util,CaseInsensitiveMap.EntrySet,15,0,0,0,3,0,3,0,3,0
Hedwig::Assembly/hedwig-api,com.hs.mail.io,LineReader,52,0,8,0,16,0,7,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.io,LineReader.TerminationException,7,0,0,0,3,0,1,0,1,0
Hedwig::Assembly/hedwig-api,com.hs.mail.io,LineReader.LineLengthExceededException,7,0,0,0,3,0,1,0,1,0
Hedwig::Assembly/hedwig-api,com.hs.mail.io,MessageSizeException,4,0,0,0,2,0,1,0,1,0
Hedwig::Assembly/hedwig-api,com.hs.mail.io,InternetPrintWriter,176,0,2,0,64,0,16,0,15,0
Hedwig::Assembly/hedwig-api,com.hs.mail.io,DotStuffingInputStream,10,116,10,18,3,26,10,7,0,3
Hedwig::Assembly/hedwig-api,com.hs.mail.io,CharTerminatedInputStream,35,173,7,21,11,39,7,11,1,3
Hedwig::Assembly/hedwig-api,com.hs.mail.io,ExtraDotOutputStream,61,0,12,0,20,0,10,0,3,0
Hedwig::Assembly/hedwig-api,com.hs.mail.io,CountingInputStream,0,40,0,6,0,14,0,8,0,5
Hedwig::Assembly/hedwig-api,com.hs.mail.io,SizeLimitedInputStream,77,0,8,0,17,0,8,0,4,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security,UserPrincipal,18,0,0,0,8,0,4,0,4,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security,RolePrincipal,4,0,0,0,2,0,1,0,1,0
Hedwig::Assembly/hedwig-api,com.hs.mail.security,BasicPrincipal,66,0,10,0,14,0,10,0,5,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,AnsiACLDao,307,55,20,0,53,3,18,2,8,2
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,OracleMessageDao.new PreparedStatementCreator() {...},68,0,2,0,11,0,3,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,OracleMessageDao.new PreparedStatementCreator() {...},28,0,0,0,5,0,2,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,AnsiACLDao.new RowMapper() {...},43,3,4,0,8,1,3,1,1,1
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,MySqlSearchDao,10,0,0,0,3,0,3,0,3,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,AnsiSearchDao.new RowCallbackHandler() {...},36,0,4,0,7,0,4,0,2,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,MySqlMailboxDao,230,0,10,0,41,0,13,0,8,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,AnsiSearchDao,519,3,70,0,97,1,50,1,15,1
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,OracleSearchDao.new SearchQuery() {...},28,3,0,0,3,1,1,1,1,1
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,AnsiMailboxDao.new RowMapper() {...},52,3,0,0,10,1,1,1,1,1
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,MySqlDaoFactory,23,0,0,0,7,0,1,0,1,0
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,PlatformUtils,30,85,5,3,14,15,4,3,0,3
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,AnsiUserDao.new RowMapper() {...},31,3,0,0,7,1,1,1,1,1
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,AnsiUserDao.new RowMapper() {...},21,3,0,0,5,1,1,1,1,1
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,OracleMessageDao,215,3,2,0,33,1,8,1,7,1
Hedwig::Assembly/hedwig-api,com.hs.mail.imap.dao,MySqlUserDao,37,0,2,0,6,0,3,0,2,0
